bank_name,atm_cd,atm_lat,atm_long,stname,dtname,atm_city,atm_pin_cd
Canara Bank,0878E003,17.37691,78.498143,TELANGANA,Hyderabad, , 
Canara Bank,8787305,17.39685,78.478586,TELANGANA,Hyderabad, , 
Punjab National Bank,H36R109301,17.388844,78.473866,TELANGANA,Hyderabad, , 
Canara Bank,0878W016,17.396879,78.484547,TELANGANA,Hyderabad, , 
Canara Bank,A3095001,17.426709,78.458246,TELANGANA,Hyderabad, , 
Canara Bank,B3039001,17.440943,78.441623,TELANGANA,Hyderabad, , 
State Bank Of India,T1NW020189002,15.879015,78.132723,TELANGANA,Jogulamba Gadwal,Alampur, 
Union Bank Of India,W2087001,15.8793,78.1324,TELANGANA,Jogulamba Gadwal,ALLAMPUR,509152
HDFC Bank Ltd,S1ANHE73,15.8794,78.1318,TELANGANA,Jogulamba Gadwal,Alampur,NULL
Canara Bank,41775829,15.8874,78.1217,TELANGANA,Jogulamba Gadwal,GADWAL,509125
Union Bank Of India,W0930001,15.8906,77.8187,TELANGANA,Jogulamba Gadwal,RAJOLI,509126
Union Bank Of India,Y0930101,15.890599,77.8187,TELANGANA,Jogulamba Gadwal,MAHABOOBNAGAR, 
ICICI Bank Ltd,SACWG741,15.891927,77.823408,TELANGANA,Jogulamba Gadwal,Rajoli, 
Canara Bank,13646820,15.928466,78.090023,TELANGANA,Jogulamba Gadwal, , 
State Bank Of India,S1BB003746003,15.936775,77.841738,TELANGANA,Jogulamba Gadwal,WADDEPALLE, 
State Bank Of India,T1NS020148173,15.939154,77.831975,TELANGANA,Jogulamba Gadwal,WADDEPALLI, 
State Bank Of India,S1BW006974001,15.94107,78.03849,TELANGANA,Jogulamba Gadwal,MAHBUBNAGAR,509153
Union Bank Of India,H2252101,15.9482,77.8525,TELANGANA,Jogulamba Gadwal,SHANTHINAGAR,509144
State Bank Of India,S1BW006111001,15.96463,77.93999,TELANGANA,Jogulamba Gadwal,MAHBUBNAGAR,509208
Union Bank Of India,W0891001,15.990059,77.552526,TELANGANA,Jogulamba Gadwal, , 
State Bank Of India,S1BW004693002,16.00886,77.66922,TELANGANA,Jogulamba Gadwal,MAHBUBNAGAR,509127
State Bank Of India,S5NL004693622,16.010651,77.653758,TELANGANA,Jogulamba Gadwal,IEEJ, 
Kotak Mahindra Bank Limited,LJBD2484,16.0141,77.66972,TELANGANA,Jogulamba Gadwal,Ieeja, 
State Bank Of India,S5NE004693621,16.019815,77.667931,TELANGANA,Jogulamba Gadwal,MAHBUBNAGAR,509127
Union Bank Of India,H0417101,16.0727,78.2577,TELANGANA,Nagarkurnool,MAHABUBNAGAR,509105
Central Bank Of India,D11D205811,16.08709,77.854512,TELANGANA,Jogulamba Gadwal, , 
Indian Overseas Bank,IOB6152,16.089604,78.224829,TELANGANA,Wanaparthy,VEEPANGANDLA,0
